skill	*Id	charclass	skilldesc	srvstfunc	srvdofunc	srvstopfunc	prgstack	srvprgfunc1	srvprgfunc2	srvprgfunc3	prgcalc1	prgcalc2	prgcalc3	prgdam	srvmissile	decquant	lob	srvmissilea	srvmissileb	srvmissilec	useServerMissilesOnRemoteClients	srvoverlay	aurafilter	aurastate	auratargetstate	auralencalc	aurarangecalc	aurastat1	aurastatcalc1	aurastat2	aurastatcalc2	aurastat3	aurastatcalc3	aurastat4	aurastatcalc4	aurastat5	aurastatcalc5	aurastat6	aurastatcalc6	auraevent1	auraeventfunc1	auraevent2	auraeventfunc2	auraevent3	auraeventfunc3	passivestate	passiveitype	passivereqweaponcount	passivestat1	passivecalc1	passivestat2	passivecalc2	passivestat3	passivecalc3	passivestat4	passivecalc4	passivestat5	passivecalc5	passivestat6	passivecalc6	summon	pettype	petmax	summode	sumskill1	sumsk1calc	sumskill2	sumsk2calc	sumskill3	sumsk3calc	sumskill4	sumsk4calc	sumskill5	sumsk5calc	sumumod	sumoverlay	stsuccessonly	stsound	stsoundclass	stsounddelay	weaponsnd	dosound	dosound a	dosound b	tgtoverlay	tgtsound	prgoverlay	prgsound	castoverlay	cltoverlaya	cltoverlayb	cltstfunc	cltdofunc	cltstopfunc	cltprgfunc1	cltprgfunc2	cltprgfunc3	cltmissile	cltmissilea	cltmissileb	cltmissilec	cltmissiled	cltcalc1	*cltcalc1 desc	cltcalc2	*cltcalc2 desc	cltcalc3	*cltcalc3 desc	warp	immediate	enhanceable	attackrank	noammo	range	weapsel	itypea1	itypea2	itypea3	etypea1	etypea2	itypeb1	itypeb2	itypeb3	etypeb1	etypeb2	anim	seqtrans	monanim	seqnum	seqinput	durability	UseAttackRate	LineOfSight	TargetableOnly	SearchEnemyXY	SearchEnemyNear	SearchOpenXY	SelectProc	TargetCorpse	TargetPet	TargetAlly	TargetItem	AttackNoMana	TgtPlaceCheck	KeepCursorStateOnKill	ContinueCastUnselected	ClearSelectedOnHold	ItemEffect	ItemCltEffect	ItemTgtDo	ItemTarget	ItemCheckStart	ItemCltCheckStart	ItemCastSound	ItemCastOverlay	skpoints	reqlevel	maxlvl	reqstr	reqdex	reqint	reqvit	reqskill1	reqskill2	reqskill3	restrict	State1	State2	State3	localdelay	globaldelay	leftskill	rightskill	repeat	alwayshit	usemanaondo	startmana	minmana	manashift	mana	lvlmana	interrupt	InTown	aura	periodic	perdelay	finishing	prgchargestocast	prgchargesconsumed	passive	progressive	scroll	calc1	*calc1 desc	calc2	*calc2 desc	calc3	*calc3 desc	calc4	*calc4 desc	calc5	*calc5 desc	calc6	*calc6 desc	Param1	*Param1 Description	Param2	*Param2 Description	Param3	*Param3 Description	Param4	*Param4 Description	Param5	*Param5 Description	Param6	*Param6 Description	Param7	*Param7 Description	Param8	*Param8 Description	Param9	*Param9 Description	Param10	*Param10 Description2	Param11	*Param11 Description	Param12	*Param12 Description	InGame	ToHit	LevToHit	ToHitCalc	ResultFlags	HitFlags	HitClass	Kick	HitShift	SrcDam	MinDam	MinLevDam1	MinLevDam2	MinLevDam3	MinLevDam4	MinLevDam5	MaxDam	MaxLevDam1	MaxLevDam2	MaxLevDam3	MaxLevDam4	MaxLevDam5	DmgSymPerCalc	EType	EMin	EMinLev1	EMinLev2	EMinLev3	EMinLev4	EMinLev5	EMax	EMaxLev1	EMaxLev2	EMaxLev3	EMaxLev4	EMaxLev5	EDmgSymPerCalc	ELen	ELevLen1	ELevLen2	ELevLen3	ELenSymPerCalc	aitype	aibonus	cost mult	cost add	*eol
unused152	542																																																																																																																																																																																																																																																																																		0
unused153	543																																																																																																																																																																																																																																																																																		0
unused154	544																																																																																																																																																																																																																																																																																		0
unused155	545																																																																																																																																																																																																																																																																																		0
unused156	546																																																																																																																																																																																																																																																																																		0
unused157	547																																																																																																																																																																																																																																																																																		0
unused158	548																																																																																																																																																																																																																																																																																		0
unused159	549																																																																																																																																																																																																																																																																																		0
unused160	550																																																																																																																																																																																																																																																																																		0
unused161	551																																																																																																																																																																																																																																																																																		0
unused162	552																																																																																																																																																																																																																																																																																		0
unused163	553																																																																																																																																																																																																																																																																																		0
unused164	554																																																																																																																																																																																																																																																																																		0
unused165	555																																																																																																																																																																																																																																																																																		0
unused166	556																																																																																																																																																																																																																																																																																		0
unused167	557																																																																																																																																																																																																																																																																																		0
unused168	558																																																																																																																																																																																																																																																																																		0
unused169	559																																																																																																																																																																																																																																																																																		0
unused170	560																																																																																																																																																																																																																																																																																		0
unused171	561																																																																																																																																																																																																																																																																																		0
unused172	562																																																																																																																																																																																																																																																																																		0
unused173	563																																																																																																																																																																																																																																																																																		0
unused174	564																																																																																																																																																																																																																																																																																		0
unused175	565																																																																																																																																																																																																																																																																																		0
unused176	566																																																																																																																																																																																																																																																																																		0
unused177	567																																																																																																																																																																																																																																																																																		0
unused178	568																																																																																																																																																																																																																																																																																		0
unused179	569																																																																																																																																																																																																																																																																																		0
unused180	570																																																																																																																																																																																																																																																																																		0
unused181	571																																																																																																																																																																																																																																																																																		0
unused182	572																																																																																																																																																																																																																																																																																		0
unused183	573																																																																																																																																																																																																																																																																																		0
unused184	574																																																																																																																																																																																																																																																																																		0
unused185	575																																																																																																																																																																																																																																																																																		0
unused186	576																																																																																																																																																																																																																																																																																		0
unused187	577																																																																																																																																																																																																																																																																																		0
unused188	578																																																																																																																																																																																																																																																																																		0
unused189	579																																																																																																																																																																																																																																																																																		0
unused190	580																																																																																																																																																																																																																																																																																		0
unused191	581																																																																																																																																																																																																																																																																																		0
unused192	582																																																																																																																																																																																																																																																																																		0
unused193	583																																																																																																																																																																																																																																																																																		0
unused194	584																																																																																																																																																																																																																																																																																		0
unused195	585																																																																																																																																																																																																																																																																																		0
unused196	586																																																																																																																																																																																																																																																																																		0
unused197	587																																																																																																																																																																																																																																																																																		0
unused198	588																																																																																																																																																																																																																																																																																		0
unused199	589																																																																																																																																																																																																																																																																																		0
unused200	590																																																																																																																																																																																																																																																																																		0
unused201	591																																																																																																																																																																																																																																																																																		0
unused202	592																																																																																																																																																																																																																																																																																		0
unused203	593																																																																																																																																																																																																																																																																																		0
unused204	594																																																																																																																																																																																																																																																																																		0
unused205	595																																																																																																																																																																																																																																																																																		0
unused206	596																																																																																																																																																																																																																																																																																		0
unused207	597																																																																																																																																																																																																																																																																																		0
unused208	598																																																																																																																																																																																																																																																																																		0
unused209	599																																																																																																																																																																																																																																																																																		0
unused210	600																																																																																																																																																																																																																																																																																		0
unused211	601																																																																																																																																																																																																																																																																																		0
unused212	602																																																																																																																																																																																																																																																																																		0
unused213	603																																																																																																																																																																																																																																																																																		0
unused214	604																																																																																																																																																																																																																																																																																		0
unused215	605																																																																																																																																																																																																																																																																																		0
unused216	606																																																																																																																																																																																																																																																																																		0
unused217	607																																																																																																																																																																																																																																																																																		0
unused218	608																																																																																																																																																																																																																																																																																		0
unused219	609																																																																																																																																																																																																																																																																																		0
unused220	610																																																																																																																																																																																																																																																																																		0
unused221	611																																																																																																																																																																																																																																																																																		0
unused222	612																																																																																																																																																																																																																																																																																		0
unused223	613																																																																																																																																																																																																																																																																																		0
unused224	614																																																																																																																																																																																																																																																																																		0
unused225	615																																																																																																																																																																																																																																																																																		0
unused226	616																																																																																																																																																																																																																																																																																		0
unused227	617																																																																																																																																																																																																																																																																																		0
unused228	618																																																																																																																																																																																																																																																																																		0
unused229	619																																																																																																																																																																																																																																																																																		0
unused230	620																																																																																																																																																																																																																																																																																		0
unused231	621																																																																																																																																																																																																																																																																																		0
unused232	622																																																																																																																																																																																																																																																																																		0
unused233	623																																																																																																																																																																																																																																																																																		0
unused234	624																																																																																																																																																																																																																																																																																		0
unused235	625																																																																																																																																																																																																																																																																																		0
unused236	626																																																																																																																																																																																																																																																																																		0
unused237	627																																																																																																																																																																																																																																																																																		0
unused238	628																																																																																																																																																																																																																																																																																		0
unused239	629																																																																																																																																																																																																																																																																																		0
unused240	630																																																																																																																																																																																																																																																																																		0
unused241	631																																																																																																																																																																																																																																																																																		0
unused242	632																																																																																																																																																																																																																																																																																		0
unused243	633																																																																																																																																																																																																																																																																																		0
unused244	634																																																																																																																																																																																																																																																																																		0
unused245	635																																																																																																																																																																																																																																																																																		0
unused246	636																																																																																																																																																																																																																																																																																		0
unused247	637																																																																																																																																																																																																																																																																																		0
unused248	638																																																																																																																																																																																																																																																																																		0
unused249	639																																																																																																																																																																																																																																																																																		0
unused250	640																																																																																																																																																																																																																																																																																		0
unused251	641																																																																																																																																																																																																																																																																																		0
unused252	642																																																																																																																																																																																																																																																																																		0
unused253	643																																																																																																																																																																																																																																																																																		0
unused254	644																																																																																																																																																																																																																																																																																		0
unused255	645																																																																																																																																																																																																																																																																																		0
unused256	646																																																																																																																																																																																																																																																																																		0
unused257	647																																																																																																																																																																																																																																																																																		0
unused258	648																																																																																																																																																																																																																																																																																		0
unused259	649																																																																																																																																																																																																																																																																																		0
unused260	650																																																																																																																																																																																																																																																																																		0
unused261	651																																																																																																																																																																																																																																																																																		0
unused262	652																																																																																																																																																																																																																																																																																		0
unused263	653																																																																																																																																																																																																																																																																																		0
unused264	654																																																																																																																																																																																																																																																																																		0
unused265	655																																																																																																																																																																																																																																																																																		0
unused266	656																																																																																																																																																																																																																																																																																		0
unused267	657																																																																																																																																																																																																																																																																																		0
unused268	658																																																																																																																																																																																																																																																																																		0
unused269	659																																																																																																																																																																																																																																																																																		0
unused270	660																																																																																																																																																																																																																																																																																		0
unused271	661																																																																																																																																																																																																																																																																																		0
unused272	662																																																																																																																																																																																																																																																																																		0
unused273	663																																																																																																																																																																																																																																																																																		0
unused274	664																																																																																																																																																																																																																																																																																		0
unused275	665																																																																																																																																																																																																																																																																																		0
unused276	666																																																																																																																																																																																																																																																																																		0
unused277	667																																																																																																																																																																																																																																																																																		0
unused278	668																																																																																																																																																																																																																																																																																		0
unused279	669																																																																																																																																																																																																																																																																																		0
unused280	670																																																																																																																																																																																																																																																																																		0
unused281	671																																																																																																																																																																																																																																																																																		0
unused282	672																																																																																																																																																																																																																																																																																		0
unused283	673																																																																																																																																																																																																																																																																																		0
unused284	674																																																																																																																																																																																																																																																																																		0
unused285	675																																																																																																																																																																																																																																																																																		0
unused286	676																																																																																																																																																																																																																																																																																		0
unused287	677																																																																																																																																																																																																																																																																																		0
unused288	678																																																																																																																																																																																																																																																																																		0
unused289	679																																																																																																																																																																																																																																																																																		0
unused290	680																																																																																																																																																																																																																																																																																		0
unused291	681																																																																																																																																																																																																																																																																																		0
unused292	682																																																																																																																																																																																																																																																																																		0
unused293	683																																																																																																																																																																																																																																																																																		0
unused294	684																																																																																																																																																																																																																																																																																		0
unused295	685																																																																																																																																																																																																																																																																																		0
unused296	686																																																																																																																																																																																																																																																																																		0
unused297	687																																																																																																																																																																																																																																																																																		0
unused298	688																																																																																																																																																																																																																																																																																		0
unused299	689																																																																																																																																																																																																																																																																																		0
unused300	690																																																																																																																																																																																																																																																																																		0
unused301	691																																																																																																																																																																																																																																																																																		0
unused302	692																																																																																																																																																																																																																																																																																		0
unused303	693																																																																																																																																																																																																																																																																																		0
unused304	694																																																																																																																																																																																																																																																																																		0
unused305	695																																																																																																																																																																																																																																																																																		0
unused306	696																																																																																																																																																																																																																																																																																		0
unused307	697																																																																																																																																																																																																																																																																																		0
