description	enabled	ladder	min diff	version	op	param	value	class	numinputs	input 1	input 2	input 3	input 4	input 5	input 6	input 7	output	lvl	plvl	ilvl	mod 1	mod 1 chance	mod 1 param	mod 1 min	mod 1 max	mod 2	mod 2 chance	mod 2 param	mod 2 min	mod 2 max	mod 3	mod 3 chance	mod 3 param	mod 3 min	mod 3 max	mod 4	mod 4 chance	mod 4 param	mod 4 min	mod 4 max	mod 5	mod 5 chance	mod 5 param	mod 5 min	mod 5 max	output b	b lvl	b plvl	b ilvl	b mod 1	b mod 1 chance	b mod 1 param	b mod 1 min	b mod 1 max	b mod 2	b mod 2 chance	b mod 2 param	b mod 2 min	b mod 2 max	b mod 3	b mod 3 chance	b mod 3 param	b mod 3 min	b mod 3 max	b mod 4	b mod 4 chance	b mod 4 param	b mod 4 min	b mod 4 max	b mod 5	b mod 5 chance	b mod 5 param	b mod 5 min	b mod 5 max	output c	c lvl	c plvl	c ilvl	c mod 1	c mod 1 chance	c mod 1 param	c mod 1 min	c mod 1 max	c mod 2	c mod 2 chance	c mod 2 param	c mod 2 min	c mod 2 max	c mod 3	c mod 3 chance	c mod 3 param	c mod 3 min	c mod 3 max	c mod 4	c mod 4 chance	c mod 4 param	c mod 4 min	c mod 4 max	c mod 5	c mod 5 chance	c mod 5 param	c mod 5 min	c mod 5 max	*eol
1 Rare Weapon + Crafting Token of Safety -> Safety Weapon	1			100					2	"weap,rar"	ct4						"usetype,crf"			100	red-dmg			1	4	red-mag			1	2	ac%			5	10																																																																					0
1 Rare Helm + Crafting Token of Speed -> Speed Helm	1			100					2	"helm,rar,upg"	ct5						"usetype,crf"			100	balance1			10	20	move1			5	10	ac			10	20																																																																					0
1 Rare Boots + Crafting Token of Speed -> Speed Boots	1			100					2	"boot,rar,upg"	ct5						"usetype,crf"			100	move1			20	30	dodge-all			5	10	ac			15	25																																																																					0
1 Rare Gloves + Crafting Token of Speed -> Speed Gloves	1			100					2	"glov,rar,upg"	ct5						"usetype,crf"			100	swing1			10	15	dmg-min			5	10	dex			2	5																																																																					0
1 Rare Belt + Crafting Token of Speed -> Speed Belt	1			100					2	"belt,rar,upg"	ct5						"usetype,crf"			100	balance1			10	15	stam			20	30	str			5	10																																																																					0
1 Rare Shield + Crafting Token of Speed -> Speed Shield	1			100					2	"shie,rar,upg"	ct5						"usetype,crf"			100	block1			20	30	block			5	5	ac			15	25																																																																					0
1 Rare Chest + Crafting Token of Speed -> Speed Body	1			100					2	"tors,rar,upg"	ct5						"usetype,crf"			100	balance1			10	20	res-all			10	15	ac			20	30																																																																					0
1 Rare Amulet + Crafting Token of Speed -> Speed Amulet	1			100					2	"amul,rar"	ct5						"usetype,crf"			100	cast1			5	10	balance1			10	15	mana			10	20																																																																					0
1 Rare Ring + Crafting Token of Speed -> Speed Ring	1			100					2	"ring,rar"	ct5						"usetype,crf"			100	swing1			5	5	att			15	50	dex			5	10																																																																					0
1 Rare Weapon + Crafting Token of Speed -> Speed Weapon	1			100					2	"weap,rar"	ct5						"usetype,crf"			100	swing1			15	25	deadly			5	10	att%			5	10																																																																					0
1 Rare Helm + Crafting Token of Treasure -> Treasure Helm	1			100					2	"helm,rar,upg"	ct6						"usetype,crf"			100	mag%			10	20	gold%			5	10																																																																										0
1 Rare Boots + Crafting Token of Treasure -> Treasure Boots	1			100					2	"boot,rar,upg"	ct6						"usetype,crf"			100	gold%			15	20	move1			10	10																																																																										0
1 Rare Gloves + Crafting Token of Treasure -> Treasure Gloves	1			100					2	"glov,rar,upg"	ct6						"usetype,crf"			100	mag%			10	15	dex			2	5																																																																										0
1 Rare Belt + Crafting Token of Treasure -> Treasure Belt	1			100					2	"belt,rar,upg"	ct6						"usetype,crf"			100	gold%			10	20	regen-mana			5	10																																																																										0
1 Rare Shield + Crafting Token of Treasure -> Treasure Shield	1			100					2	"shie,rar,upg"	ct6						"usetype,crf"			100	mag%			5	10	res-all			5	10																																																																										0
1 Rare Chest + Crafting Token of Treasure -> Treasure Body	1			100					2	"tors,rar,upg"	ct6						"usetype,crf"			100	mag%			20	25	gold%			10	15																																																																										0
1 Rare Amulet + Crafting Token of Treasure -> Treasure Amulet	1			100					2	"amul,rar"	ct6						"usetype,crf"			100	gold%			20	30	mag%			5	10																																																																										0
1 Rare Ring + Crafting Token of Treasure -> Treasure Ring	1			100					2	"ring,rar"	ct6						"usetype,crf"			100	mag%			10	15	gold%			10	15																																																																										0
1 Rare Weapon + Crafting Token of Treasure -> Treasure Weapon	1			100					2	"weap,rar"	ct6						"usetype,crf"			100	gold%			15	20	dmg%			20	30																																																																										0
1 Rare Helm + Crafting Token of Shadow -> Shadow Helm	1			100					2	"helm,rar,upg"	ct7						"usetype,crf"			100	gethit-skill		267	1	10	regen-mana			3	5	manasteal			2	4																																																																					0
1 Rare Boots + Crafting Token of Shadow -> Shadow Boots	1			100					2	"boot,rar,upg"	ct7						"usetype,crf"			100	lifesteal			1	2	move1			10	15	openwounds			5	8																																																																					0
1 Rare Gloves + Crafting Token of Shadow -> Shadow Gloves	1			100					2	"glov,rar,upg"	ct7						"usetype,crf"			100	deadly			5	5	manasteal			2	4	dex			3	5																																																																					0
1 Rare Belt + Crafting Token of Shadow -> Shadow Belt	1			100					2	"belt,rar,upg"	ct7						"usetype,crf"			100	regen-mana			3	5	res-mag			3	5	openwounds			3	6																																																																					0
1 Rare Shield + Crafting Token of Shadow -> Shadow Shield	1			100					2	"shie,rar,upg"	ct7						"usetype,crf"			100	thorns			12	24	res-mag			5	10	red-mag			3	3																																																																					0
1 Rare Chest + Crafting Token of Shadow -> Shadow Body	1			100					2	"tors,rar,upg"	ct7						"usetype,crf"			100	heal-kill			5	10	red-mag			2	4	curse-res			3	5																																																																					0
1 Rare Amulet + Crafting Token of Shadow -> Shadow Amulet	1			100					2	"amul,rar"	ct7						"usetype,crf"			100	manasteal			2	4	deadly			5	5	regen-mana			3	5																																																																					0
1 Rare Ring + Crafting Token of Shadow -> Shadow Ring	1			100					2	"ring,rar"	ct7						"usetype,crf"			100	lifesteal			1	2	res-mag			3	5	openwounds			5	5																																																																					0
1 Rare Weapon + Crafting Token of Shadow -> Shadow Weapon	1			100					2	"weap,rar"	ct7						"usetype,crf"			100	deadly			5	15	dmg%			25	25	openwounds			5	10																																																																					0
3 Thul Runes + 1 Chipped Topaz -> Amn Rune	1			100					4	"r10,qty=3"	gcy						r11																																																																																							0
3 Amn Runes + 1 Chipped Amethyst -> Sol Rune	1			100					4	"r11,qty=3"	gcv						r12																																																																																							0
3 Sol Runes + 1 Chipped Sapphire -> Shael Rune	1			100					4	"r12,qty=3"	gcb						r13																																																																																							0
3 Shael Runes + 1 Chipped Ruby -> Dol Rune	1			100					4	"r13,qty=3"	gcr						r14																																																																																							0
3 Dol Runes + 1 Chipped Emerald -> Hel Rune	1			100					4	"r14,qty=3"	gcg						r15																																																																																							0
3 Hel Runes + 1 Chipped Diamond -> Io Rune	1			100					4	"r15,qty=3"	gcw						r16																																																																																							0
3 Io Runes + 1 Flawed Topaz -> Lum Rune	1			100					4	"r16,qty=3"	gfy						r17																																																																																							0
3 Lum Runes + 1 Flawed Amethyst -> Ko Rune	1			100					4	"r17,qty=3"	gfv						r18																																																																																							0
3 Ko Runes + 1 Flawed Sapphire -> Fal Rune	1			100					4	"r18,qty=3"	gfb						r19																																																																																							0
3 Fal Runes + 1 Flawed Ruby -> Lem Rune	1			100					4	"r19,qty=3"	gfr						r20																																																																																							0
3 Lem Runes + 1 Flawed Emerald -> Pul Rune	1			100					4	"r20,qty=3"	gfg						r21																																																																																							0
2 Pul Runes + 1 Flawed Diamond -> Um Rune	1			100					3	"r21,qty=2"	gfw						r22																																																																																							0
2 Um Runes + 1 Standard Topaz -> Mal Rune	1			100					3	"r22,qty=2"	gsy						r23																																																																																							0
2 Mal Runes + 1 Standard Amethyst -> Ist Rune	1			100					3	"r23,qty=2"	gsv						r24																																																																																							0
2 Ist Runes + 1 Standard Sapphire -> Gul Rune	1			100					3	"r24,qty=2"	gsb						r25																																																																																							0
2 Gul Runes + 1 Standard Ruby -> Vex Rune	1			100					3	"r25,qty=2"	gsr						r26																																																																																							0
2 Vex Runes + 1 Standard Emerald -> Ohm Rune	1			100					3	"r26,qty=2"	gsg						r27																																																																																							0
2 Ohm Runes + 1 Standard Diamond -> Lo Rune	1			100					3	"r27,qty=2"	gsw						r28																																																																																							0
2 Lo Runes + 1 Flawless Topaz -> Sur Rune	1			100					3	"r28,qty=2"	gly						r29																																																																																							0
2 Sur Runes + 1 Flawless Amethyst -> Ber Rune	1			100					3	"r29,qty=2"	gzv						r30																																																																																							0
2 Ber Runes + 1 Flawless Sapphire -> Jah Rune	1			100					3	"r30,qty=2"	glb						r31																																																																																							0
2 Jah Runes + 1 Flawless Ruby -> Cham Rune	1			100					3	"r31,qty=2"	glr						r32																																																																																							0
2 Cham Runes + 1 Flawless Emerald -> Zod Rune	1			100					3	"r32,qty=2"	glg						r33																																																																																							0
1 Tal Rune + 1 Thul Rune + 1 Perfect Topaz + 1 Normal Torso Armor -> Socketed Torso Armor	1			100					4	"tors,nor,nos"	r07	r10	gpy				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Amn Rune + 1 Perfect Amethyst + 1 Normal Weapon -> Socketed Weapon	1			100					4	"weap,nor,nos"	r08	r11	gpv				useitem				sock			1	6																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Sapphire + 1 Normal Helm -> Socketed Helm	1			100					4	"helm,nor,nos"	r08	r10	gpb				useitem				sock			1	6																																																																															0
1 Tal Rune + 1 Amn Rune + 1 Perfect Ruby + 1 Normal Shield -> Socketed Shield	1			100					4	"shld,nor,nos"	r07	r11	gpr				useitem				sock			1	6																																																																															0
1 Eld Rune + 1 Chipped Gem (Any) + 1 Low Quality Weapon -> Normal Weapon	1			100					3	"weap,low"	r02	gem0					"usetype,nor"																																																																																							0
1 El Rune + 1 Chipped Gem (Any) + 1 Low Quality Armor -> Normal Armor	1			100					3	"armo,low"	r01	gem0					"usetype,nor"																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Unique Weapon -> Exceptional Unique Weapon	1			100					4	"weap,bas,uni"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Unique Armor -> Exceptional Unique Armor	1			100					4	"armo,bas,uni"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Unique Weapon -> Elite Unique Weapon	1			100					4	"weap,exc,uni"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Unique Armor -> Elite Unique Armor	1			100					4	"armo,exc,uni"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Amn Rune + 1 Perfect Sapphire + 1 Normal Rare Weapon -> Exceptional Rare Weapon	1			100					4	"weap,bas,rar"	r09	r11	gpb				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Ral Rune + 1 Thul Rune + 1 Perfect Amethyst + 1 Normal Rare Armor -> Exceptional Rare Armor	1			100					4	"armo,bas,rar"	r08	r10	gpv				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Fal Rune + 1 Um Rune + 1 Perfect Sapphire + 1 Exceptional Rare Weapon -> Elite Rare Weapon	1			100					4	"weap,exc,rar"	r19	r22	gpb				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Pul Rune + 1 Perfect Amethyst + 1 Exceptional Rare Armor -> Elite Rare Armor	1			100					4	"armo,exc,rar"	r18	r21	gpv				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ort Rune + 1 Weapon -> Fully Repaired Weapon	1			100					2	"weap,noe"	r09						"useitem,rep,qty=255"																																																																																							0
1 Ral Rune + 1 Armor -> Fully Repaired Armor	1			100					2	"armo,noe"	r08						"useitem,rep,qty=255"																																																																																							0
1 Ort Rune + 1 Chipped Gem (Any) + 1 Weapon -> Fully Repaired and Recharged Weapon	1			100					3	"weap,noe"	r09	gem0					"useitem,rep,rch,qty=255"																																																																																							0
1 Ral Rune + 1 Flawed Gem (Any) + 1 Armor -> Fully Repaired and Recharged Armor	1			100					3	"armo,noe"	r08	gem1					"useitem,rep,rch,qty=255"																																																																																							0
1 Hel Rune + Scroll of Town Portal + 1 Socketed Item -> Clear Sockets on Item	1			100					3	"any,sock"	r15	tsc					"useitem,uns"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Armor -> Tempered Armor				100					3	"armo,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + 1 Superior Weapon -> Tempered Weapon				100					3	"weap,hiq,nos"	jew	r08					"useitem,tmp"																																																																																							0
1 Ral Rune + 1 Jewel + Magic Ring -> Tempered Ring				100					3	"ring,mag"	jew	r08					"usetype,tmp"				levelreq			3	3																																																																															0
1 Ral Rune + 1 Jewel + 1 Magic Amulet -> Tempered Amulet				100					3	"amu,mag"	jew	r08					"usetype,tmp"				levelreq			5	5																																																																															0
1 El Rune + 1 Chipped Gem (Any) + 1 Tempered Weapon -> Weapon With Extra Attack Rating				100					3	"weap,tmp"	r01	gcv					useitem				levelreq			2	2	att			30	50																																																																										0
3 Chipped Gems (Any) + 1 Magic Weapon -> Socketed Magic Weapon	1			0					4	"weap,mag"	"gem0,qty=3"						"usetype,mag"	25		50	sock			1	2																																																																															0
1 Key of Terror + 1 Key of Hate + 1 Key of Destruction -> Portal to Matron's Den/Forgotten Sands/Furnace of Pain (Random)	1			100	28				3	pk1	pk2	pk3					Pandemonium Portal																																																																																							0
1 Diablo's Horn + 1 Baal's Eye + 1 Mephisto's Brain -> Portal to Tristram (Pandemonium Finale)	1			100	28				3	dhn	bey	mbr					Pandemonium Finale Portal																																																																																							0
1 Twisted Essence of Suffering + 1 Charged Essence of Hatred + 1 Burning Essence of Terror + 1 Festering Essence of Destruction -> Token of Absolution	1			100					4	tes	ceh	bet	fed				toa																																																																																							0
1 Ral Rune + 1 Sol Rune + 1 Perfect Emerald + 1 Normal Set Weapon -> Exceptional Set Weapon	1			100					4	"weap,bas,set"	r08	r12	gpg				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Tal Rune + 1 Shael Rune + 1 Perfect Diamond + 1 Normal Set Armor -> Exceptional Set Armor	1			100					4	"armo,bas,set"	r07	r13	gpw				"useitem,mod,exc"				levelreq			5	5																																																																															0
1 Lum Rune + 1 Pul Rune + 1 Perfect Emerald + 1 Exceptional Set Weapon -> Elite Set Weapon	1			100					4	"weap,exc,set"	r17	r21	gpg				"useitem,mod,eli"				levelreq			7	7																																																																															0
1 Ko Rune + 1 Lem Rune + 1 Perfect Diamond + 1 Exceptional Set Armor -> Elite Set Armor	1			100					4	"armo,exc,set"	r18	r20	gpw				"useitem,mod,eli"				levelreq			7	7																																																																															0
r01 -> s01	1			100					1	r01							s01																																																																																							0
s01 -> r01	1			100	18	70	1		1	s01							r01																																																																																							0
r02 -> s02	1			100					1	r02							s02																																																																																							0
s02 -> r02	1			100	18	70	1		1	s02							r02																																																																																							0
r03 -> s03	1			100					1	r03							s03																																																																																							0
s03 -> r03	1			100	18	70	1		1	s03							r03																																																																																							0
r04 -> s04	1			100					1	r04							s04																																																																																							0
s04 -> r04	1			100	18	70	1		1	s04							r04																																																																																							0
r05 -> s05	1			100					1	r05							s05																																																																																							0
s05 -> r05	1			100	18	70	1		1	s05							r05																																																																																							0
r06 -> s06	1			100					1	r06							s06																																																																																							0
s06 -> r06	1			100	18	70	1		1	s06							r06																																																																																							0
r07 -> s07	1			100					1	r07							s07																																																																																							0
s07 -> r07	1			100	18	70	1		1	s07							r07																																																																																							0
r08 -> s08	1			100					1	r08							s08																																																																																							0
s08 -> r08	1			100	18	70	1		1	s08							r08																																																																																							0
r09 -> s09	1			100					1	r09							s09																																																																																							0
s09 -> r09	1			100	18	70	1		1	s09							r09																																																																																							0
r10 -> s10	1			100					1	r10							s10																																																																																							0
s10 -> r10	1			100	18	70	1		1	s10							r10																																																																																							0
r11 -> s11	1			100					1	r11							s11																																																																																							0
s11 -> r11	1			100	18	70	1		1	s11							r11																																																																																							0
r12 -> s12	1			100					1	r12							s12																																																																																							0
s12 -> r12	1			100	18	70	1		1	s12							r12																																																																																							0
r13 -> s13	1			100					1	r13							s13																																																																																							0
s13 -> r13	1			100	18	70	1		1	s13							r13																																																																																							0
r14 -> s14	1			100					1	r14							s14																																																																																							0
s14 -> r14	1			100	18	70	1		1	s14							r14																																																																																							0
r15 -> s15	1			100					1	r15							s15																																																																																							0
s15 -> r15	1			100	18	70	1		1	s15							r15																																																																																							0
r16 -> s16	1			100					1	r16							s16																																																																																							0
s16 -> r16	1			100	18	70	1		1	s16							r16																																																																																							0
r17 -> s17	1			100					1	r17							s17																																																																																							0
s17 -> r17	1			100	18	70	1		1	s17							r17																																																																																							0
r18 -> s18	1			100					1	r18							s18																																																																																							0
s18 -> r18	1			100	18	70	1		1	s18							r18																																																																																							0
r19 -> s19	1			100					1	r19							s19																																																																																							0
s19 -> r19	1			100	18	70	1		1	s19							r19																																																																																							0
r20 -> s20	1			100					1	r20							s20																																																																																							0
s20 -> r20	1			100	18	70	1		1	s20							r20																																																																																							0
r21 -> s21	1			100					1	r21							s21																																																																																							0
s21 -> r21	1			100	18	70	1		1	s21							r21																																																																																							0
r22 -> s22	1			100					1	r22							s22																																																																																							0
s22 -> r22	1			100	18	70	1		1	s22							r22																																																																																							0
r23 -> s23	1			100					1	r23							s23																																																																																							0
s23 -> r23	1			100	18	70	1		1	s23							r23																																																																																							0
r24 -> s24	1			100					1	r24							s24																																																																																							0
s24 -> r24	1			100	18	70	1		1	s24							r24																																																																																							0
r25 -> s25	1			100					1	r25							s25																																																																																							0
s25 -> r25	1			100	18	70	1		1	s25							r25																																																																																							0
r26 -> s26	1			100					1	r26							s26																																																																																							0
s26 -> r26	1			100	18	70	1		1	s26							r26																																																																																							0
r27 -> s27	1			100					1	r27							s27																																																																																							0
s27 -> r27	1			100	18	70	1		1	s27							r27																																																																																							0
r28 -> s28	1			100					1	r28							s28																																																																																							0
s28 -> r28	1			100	18	70	1		1	s28							r28																																																																																							0
r29 -> s29	1			100					1	r29							s29																																																																																							0
s29 -> r29	1			100	18	70	1		1	s29							r29																																																																																							0
r30 -> s30	1			100					1	r30							s30																																																																																							0
s30 -> r30	1			100	18	70	1		1	s30							r30																																																																																							0
r31 -> s31	1			100					1	r31							s31																																																																																							0
s31 -> r31	1			100	18	70	1		1	s31							r31																																																																																							0
r32 -> s32	1			100					1	r32							s32																																																																																							0
s32 -> r32	1			100	18	70	1		1	s32							r32																																																																																							0
r33 -> s33	1			100					1	r33							s33																																																																																							0
s33 -> r33	1			100	18	70	1		1	s33							r33																																																																																							0
Stack of 2 -> Stack of 1 and Stack of 1	1			0	18	70	2		1	stac							"usetype,qty=1"																													"usetype,qty=1"																																																										0
Stack of 3 -> Stack of 2 and Stack of 1	1			0	18	70	3		1	stac							"usetype,qty=2"																													"usetype,qty=1"																																																										0
Stack of 4 -> Stack of 3 and Stack of 1	1			0	18	70	4		1	stac							"usetype,qty=3"																													"usetype,qty=1"																																																										0
Stack of 5 -> Stack of 4 and Stack of 1	1			0	18	70	5		1	stac							"usetype,qty=4"																													"usetype,qty=1"																																																										0
Stack of 6 -> Stack of 5 and Stack of 1	1			0	18	70	6		1	stac							"usetype,qty=5"																													"usetype,qty=1"																																																										0
Stack of 7 -> Stack of 6 and Stack of 1	1			0	18	70	7		1	stac							"usetype,qty=6"																													"usetype,qty=1"																																																										0
Stack of 8 -> Stack of 7 and Stack of 1	1			0	18	70	8		1	stac							"usetype,qty=7"																													"usetype,qty=1"																																																										0
Stack of 9 -> Stack of 8 and Stack of 1	1			0	18	70	9		1	stac							"usetype,qty=8"																													"usetype,qty=1"																																																										0
Stack of 10 -> Stack of 9 and Stack of 1	1			0	18	70	10		1	stac							"usetype,qty=9"																													"usetype,qty=1"																																																										0
Stack of 11 -> Stack of 10 and Stack of 1	1			0	18	70	11		1	stac							"usetype,qty=10"																													"usetype,qty=1"																																																										0
Stack of 12 -> Stack of 11 and Stack of 1	1			0	18	70	12		1	stac							"usetype,qty=11"																													"usetype,qty=1"																																																										0
Stack of 13 -> Stack of 12 and Stack of 1	1			0	18	70	13		1	stac							"usetype,qty=12"																													"usetype,qty=1"																																																										0
Stack of 14 -> Stack of 13 and Stack of 1	1			0	18	70	14		1	stac							"usetype,qty=13"																													"usetype,qty=1"																																																										0
Stack of 15 -> Stack of 14 and Stack of 1	1			0	18	70	15		1	stac							"usetype,qty=14"																													"usetype,qty=1"																																																										0
Stack of 16 -> Stack of 15 and Stack of 1	1			0	18	70	16		1	stac							"usetype,qty=15"																													"usetype,qty=1"																																																										0
Stack of 17 -> Stack of 16 and Stack of 1	1			0	18	70	17		1	stac							"usetype,qty=16"																													"usetype,qty=1"																																																										0
Stack of 18 -> Stack of 17 and Stack of 1	1			0	18	70	18		1	stac							"usetype,qty=17"																													"usetype,qty=1"																																																										0
Stack of 19 -> Stack of 18 and Stack of 1	1			0	18	70	19		1	stac							"usetype,qty=18"																													"usetype,qty=1"																																																										0
Stack of 20 -> Stack of 19 and Stack of 1	1			0	18	70	20		1	stac							"usetype,qty=19"																													"usetype,qty=1"																																																										0
Stack of 21 -> Stack of 20 and Stack of 1	1			0	18	70	21		1	stac							"usetype,qty=20"																													"usetype,qty=1"																																																										0
Stack of 22 -> Stack of 21 and Stack of 1	1			0	18	70	22		1	stac							"usetype,qty=21"																													"usetype,qty=1"																																																										0
Stack of 23 -> Stack of 22 and Stack of 1	1			0	18	70	23		1	stac							"usetype,qty=22"																													"usetype,qty=1"																																																										0
Stack of 24 -> Stack of 23 and Stack of 1	1			0	18	70	24		1	stac							"usetype,qty=23"																													"usetype,qty=1"																																																										0
Stack of 25 -> Stack of 24 and Stack of 1	1			0	18	70	25		1	stac							"usetype,qty=24"																													"usetype,qty=1"																																																										0
Stack of 26 -> Stack of 25 and Stack of 1	1			0	18	70	26		1	stac							"usetype,qty=25"																													"usetype,qty=1"																																																										0
Stack of 27 -> Stack of 26 and Stack of 1	1			0	18	70	27		1	stac							"usetype,qty=26"																													"usetype,qty=1"																																																										0
Stack of 28 -> Stack of 27 and Stack of 1	1			0	18	70	28		1	stac							"usetype,qty=27"																													"usetype,qty=1"																																																										0
Stack of 29 -> Stack of 28 and Stack of 1	1			0	18	70	29		1	stac							"usetype,qty=28"																													"usetype,qty=1"																																																										0
Stack of 30 -> Stack of 29 and Stack of 1	1			0	18	70	30		1	stac							"usetype,qty=29"																													"usetype,qty=1"																																																										0
Stack of 31 -> Stack of 30 and Stack of 1	1			0	18	70	31		1	stac							"usetype,qty=30"																													"usetype,qty=1"																																																										0
Stack of 32 -> Stack of 31 and Stack of 1	1			0	18	70	32		1	stac							"usetype,qty=31"																													"usetype,qty=1"																																																										0
Stack of 33 -> Stack of 32 and Stack of 1	1			0	18	70	33		1	stac							"usetype,qty=32"																													"usetype,qty=1"																																																										0
Stack of 34 -> Stack of 33 and Stack of 1	1			0	18	70	34		1	stac							"usetype,qty=33"																													"usetype,qty=1"																																																										0
Stack of 35 -> Stack of 34 and Stack of 1	1			0	18	70	35		1	stac							"usetype,qty=34"																													"usetype,qty=1"																																																										0
Stack of 36 -> Stack of 35 and Stack of 1	1			0	18	70	36		1	stac							"usetype,qty=35"																													"usetype,qty=1"																																																										0
Stack of 37 -> Stack of 36 and Stack of 1	1			0	18	70	37		1	stac							"usetype,qty=36"																													"usetype,qty=1"																																																										0
Stack of 38 -> Stack of 37 and Stack of 1	1			0	18	70	38		1	stac							"usetype,qty=37"																													"usetype,qty=1"																																																										0
Stack of 39 -> Stack of 38 and Stack of 1	1			0	18	70	39		1	stac							"usetype,qty=38"																													"usetype,qty=1"																																																										0
Stack of 40 -> Stack of 39 and Stack of 1	1			0	18	70	40		1	stac							"usetype,qty=39"																													"usetype,qty=1"																																																										0
Stack of 41 -> Stack of 40 and Stack of 1	1			0	18	70	41		1	stac							"usetype,qty=40"																													"usetype,qty=1"																																																										0
Stack of 42 -> Stack of 41 and Stack of 1	1			0	18	70	42		1	stac							"usetype,qty=41"																													"usetype,qty=1"																																																										0
Stack of 43 -> Stack of 42 and Stack of 1	1			0	18	70	43		1	stac							"usetype,qty=42"																													"usetype,qty=1"																																																										0
Stack of 44 -> Stack of 43 and Stack of 1	1			0	18	70	44		1	stac							"usetype,qty=43"																													"usetype,qty=1"																																																										0
Stack of 45 -> Stack of 44 and Stack of 1	1			0	18	70	45		1	stac							"usetype,qty=44"																													"usetype,qty=1"																																																										0
Stack of 46 -> Stack of 45 and Stack of 1	1			0	18	70	46		1	stac							"usetype,qty=45"																													"usetype,qty=1"																																																										0
Stack of 47 -> Stack of 46 and Stack of 1	1			0	18	70	47		1	stac							"usetype,qty=46"																													"usetype,qty=1"																																																										0
Stack of 48 -> Stack of 47 and Stack of 1	1			0	18	70	48		1	stac							"usetype,qty=47"																													"usetype,qty=1"																																																										0
Stack of 49 -> Stack of 48 and Stack of 1	1			0	18	70	49		1	stac							"usetype,qty=48"																													"usetype,qty=1"																																																										0
Stack of 50 -> Stack of 49 and Stack of 1	1			0	18	70	50		1	stac							"usetype,qty=49"																													"usetype,qty=1"																																																										0
Stack of 51 -> Stack of 50 and Stack of 1	1			0	18	70	51		1	stac							"usetype,qty=50"																													"usetype,qty=1"																																																										0
Stack of 52 -> Stack of 51 and Stack of 1	1			0	18	70	52		1	stac							"usetype,qty=51"																													"usetype,qty=1"																																																										0
Stack of 53 -> Stack of 52 and Stack of 1	1			0	18	70	53		1	stac							"usetype,qty=52"																													"usetype,qty=1"																																																										0
Stack of 54 -> Stack of 53 and Stack of 1	1			0	18	70	54		1	stac							"usetype,qty=53"																													"usetype,qty=1"																																																										0
Stack of 55 -> Stack of 54 and Stack of 1	1			0	18	70	55		1	stac							"usetype,qty=54"																													"usetype,qty=1"																																																										0
Stack of 56 -> Stack of 55 and Stack of 1	1			0	18	70	56		1	stac							"usetype,qty=55"																													"usetype,qty=1"																																																										0
Stack of 57 -> Stack of 56 and Stack of 1	1			0	18	70	57		1	stac							"usetype,qty=56"																													"usetype,qty=1"																																																										0
Stack of 58 -> Stack of 57 and Stack of 1	1			0	18	70	58		1	stac							"usetype,qty=57"																													"usetype,qty=1"																																																										0
Stack of 59 -> Stack of 58 and Stack of 1	1			0	18	70	59		1	stac							"usetype,qty=58"																													"usetype,qty=1"																																																										0
Stack of 60 -> Stack of 59 and Stack of 1	1			0	18	70	60		1	stac							"usetype,qty=59"																													"usetype,qty=1"																																																										0
Stack of 61 -> Stack of 60 and Stack of 1	1			0	18	70	61		1	stac							"usetype,qty=60"																													"usetype,qty=1"																																																										0
Stack of 62 -> Stack of 61 and Stack of 1	1			0	18	70	62		1	stac							"usetype,qty=61"																													"usetype,qty=1"																																																										0
Stack of 63 -> Stack of 62 and Stack of 1	1			0	18	70	63		1	stac							"usetype,qty=62"																													"usetype,qty=1"																																																										0
Stack of 64 -> Stack of 63 and Stack of 1	1			0	18	70	64		1	stac							"usetype,qty=63"																													"usetype,qty=1"																																																										0
Stack of 65 -> Stack of 64 and Stack of 1	1			0	18	70	65		1	stac							"usetype,qty=64"																													"usetype,qty=1"																																																										0
Stack of 66 -> Stack of 65 and Stack of 1	1			0	18	70	66		1	stac							"usetype,qty=65"																													"usetype,qty=1"																																																										0
Stack of 67 -> Stack of 66 and Stack of 1	1			0	18	70	67		1	stac							"usetype,qty=66"																													"usetype,qty=1"																																																										0
